OperationsEventDefSegAssignID,OperationsEventDefinitionID,ProcessSegmentID,StartOrEndEvent,IsMandatory,IsPrimarySegment,Notes
OEDSA-020,OED-PROD-MIX-START,BREAD-750G-MIX,Start,TRUE,TRUE,Start of Mixing
OEDSA-021,OED-PROD-MIX-END,BREAD-750G-MIX,End,TRUE,TRUE,End of Mixing
OEDSA-022,OED-PROD-BAKE-START,BREAD-750G-BAKE,Start,TRUE,TRUE,Start of baking
OEDSA-023,OED-PROD-BAKE-END,BREAD-750G-BAKE,End,TRUE,TRUE,End of baking
OEDSA-024,OED-PROD-PACK-START,BREAD-750G-PACK,Start,TRUE,TRUE,Start of packing
OEDSA-025,OED-PROD-PACK-END,BREAD-750G-PACK,End,TRUE,TRUE,End of packing
OEDSA-026,OED-UD-OVERTEMP,LOAF-750G-BAKE,Start,FALSE,TRUE,Oven temperature fault during baking
OEDSA-027,OED-UD-MIXFAIL,LOAF-750G-MIX,Start,FALSE,TRUE,Mixer failure during dough mixing
OEDSA-028,OED-UD-BEARING,LOAF-750G-MIX,Start,FALSE,TRUE,Bearing overheat on mixer
OEDSA-029,OED-UD-BELT,LOAF-750G-MIX,Start,FALSE,TRUE,Drive belt failure on mixer
OEDSA-030,OED-UD-SENSOR,LOAF-750G-MIX,Start,FALSE,FALSE,Sensor failure may also affect baking
OEDSA-031,OED-UD-SENSOR,LOAF-750G-BAKE,Start,FALSE,FALSE,Sensor failure in oven temperature probe
OEDSA-032,OED-UTIL-GAS,LOAF-750G-BAKE,Start,FALSE,TRUE,Gas supply loss affects oven
OEDSA-033,OED-UTIL-WATER,LOAF-750G-MIX,Start,FALSE,TRUE,Water pressure affects dough preparation
OEDSA-034,OED-SCR-BURN,LOAF-750G-BAKE,Start,FALSE,TRUE,Burning only possible during baking
OEDSA-035,OED-SCR-UNDER,LOAF-750G-BAKE,Start,FALSE,TRUE,Underbaking only possible during baking
OEDSA-036,OED-PROC-TEMPDEV,LOAF-750G-BAKE,Start,FALSE,TRUE,Temperature deviation in oven
OEDSA-037,OED-PROC-MIXERR,LOAF-750G-MIX,Start,FALSE,TRUE,Incorrect mixing parameters
OEDSA-038,OED-PROC-FLOW,LOAF-750G-MIX,Start,FALSE,TRUE,Ingredient dosing error
OEDSA-039,OED-MAT-SHORT,LOAF-750G-MIX,Start,FALSE,TRUE,Raw material missing before or during mixing
OEDSA-040,OED-MAT-EXPIRED,LOAF-750G-MIX,Start,FALSE,TRUE,Expired ingredient detected
OEDSA-041,OED-QC-FAIL,LOAF-750G-PACK,Start,FALSE,TRUE,Final inspection at packaging
OEDSA-042,OED-QC-LABEL,LOAF-750G-PACK,Start,FALSE,TRUE,Labeling error during packaging
OEDSA-043,OED-PLAN-DELAY,LOAF-750G-MIX,Start,FALSE,FALSE,Schedule deviation detected at start
OEDSA-044,OED-PLAN-OVERRUN,LOAF-750G-BAKE,Start,FALSE,FALSE,Runtime exceeded planned duration
OEDSA-045,OED-PROD-MIX-START,LOAF-750G-MIX,Start,TRUE,TRUE,Start of Mixing
OEDSA-046,OED-PROD-MIX-END,LOAF-750G-MIX,End,TRUE,TRUE,End of Mixing
OEDSA-047,OED-PROD-BAKE-START,LOAF-750G-BAKE,Start,TRUE,TRUE,Start of baking
OEDSA-048,OED-PROD-BAKE-END,LOAF-750G-BAKE,End,TRUE,TRUE,End of baking
OEDSA-049,OED-PROD-PACK-START,LOAF-750G-PACK,Start,TRUE,TRUE,Start of packing
OEDSA-050,OED-PROD-PACK-END,LOAF-750G-PACK,End,TRUE,TRUE,End of packing
OEDSA-051,OED-UD-OVERTEMP,PITA-200G-BAKE,Start,FALSE,TRUE,Oven temperature fault during baking
OEDSA-052,OED-UD-MIXFAIL,PITA-200G-MIX,Start,FALSE,TRUE,Mixer failure during dough mixing
OEDSA-053,OED-UD-BEARING,PITA-200G-MIX,Start,FALSE,TRUE,Bearing overheat on mixer
OEDSA-054,OED-UD-BELT,PITA-200G-MIX,Start,FALSE,TRUE,Drive belt failure on mixer
OEDSA-055,OED-UD-SENSOR,PITA-200G-MIX,Start,FALSE,FALSE,Sensor failure may also affect baking
OEDSA-056,OED-UD-SENSOR,PITA-200G-BAKE,Start,FALSE,FALSE,Sensor failure in oven temperature probe
OEDSA-057,OED-UTIL-GAS,PITA-200G-BAKE,Start,FALSE,TRUE,Gas supply loss affects oven
OEDSA-058,OED-UTIL-WATER,PITA-200G-MIX,Start,FALSE,TRUE,Water pressure affects dough preparation
OEDSA-059,OED-SCR-BURN,PITA-200G-BAKE,Start,FALSE,TRUE,Burning only possible during baking
OEDSA-060,OED-SCR-UNDER,PITA-200G-BAKE,Start,FALSE,TRUE,Underbaking only possible during baking
OEDSA-061,OED-PROC-TEMPDEV,PITA-200G-BAKE,Start,FALSE,TRUE,Temperature deviation in oven
OEDSA-062,OED-PROC-MIXERR,PITA-200G-MIX,Start,FALSE,TRUE,Incorrect mixing parameters
OEDSA-063,OED-PROC-FLOW,PITA-200G-MIX,Start,FALSE,TRUE,Ingredient dosing error
OEDSA-064,OED-MAT-SHORT,PITA-200G-MIX,Start,FALSE,TRUE,Raw material missing before or during mixing
OEDSA-065,OED-MAT-EXPIRED,PITA-200G-MIX,Start,FALSE,TRUE,Expired ingredient detected
OEDSA-066,OED-QC-FAIL,PITA-200G-PACK,Start,FALSE,TRUE,Final inspection at packaging
OEDSA-067,OED-QC-LABEL,PITA-200G-PACK,Start,FALSE,TRUE,Labeling error during packaging
OEDSA-068,OED-PLAN-DELAY,PITA-200G-MIX,Start,FALSE,FALSE,Schedule deviation detected at start
OEDSA-069,OED-PLAN-OVERRUN,PITA-200G-BAKE,Start,FALSE,FALSE,Runtime exceeded planned duration
OEDSA-070,OED-PROD-MIX-START,PITA-200G-MIX,Start,TRUE,TRUE,Start of Mixing
OEDSA-071,OED-PROD-MIX-END,PITA-200G-MIX,End,TRUE,TRUE,End of Mixing
OEDSA-072,OED-PROD-BAKE-START,PITA-200G-BAKE,Start,TRUE,TRUE,Start of baking
OEDSA-073,OED-PROD-BAKE-END,PITA-200G-BAKE,End,TRUE,TRUE,End of baking
OEDSA-074,OED-PROD-PACK-START,PITA-200G-PACK,Start,TRUE,TRUE,Start of packing
OEDSA-075,OED-PROD-PACK-END,PITA-200G-PACK,End,TRUE,TRUE,End of packing
OEDSA-076,OED-UD-OVERTEMP,BAGUETTE-250G-BAKE,Start,FALSE,TRUE,Oven temperature fault during baking
OEDSA-077,OED-UD-MIXFAIL,BAGUETTE-250G-MIX,Start,FALSE,TRUE,Mixer failure during dough mixing
OEDSA-078,OED-UD-BEARING,BAGUETTE-250G-MIX,Start,FALSE,TRUE,Bearing overheat on mixer
OEDSA-079,OED-UD-BELT,BAGUETTE-250G-MIX,Start,FALSE,TRUE,Drive belt failure on mixer
OEDSA-080,OED-UD-SENSOR,BAGUETTE-250G-MIX,Start,FALSE,FALSE,Sensor failure may also affect baking
OEDSA-081,OED-UD-SENSOR,BAGUETTE-250G-BAKE,Start,FALSE,FALSE,Sensor failure in oven temperature probe
OEDSA-082,OED-UTIL-GAS,BAGUETTE-250G-BAKE,Start,FALSE,TRUE,Gas supply loss affects oven
OEDSA-083,OED-UTIL-WATER,BAGUETTE-250G-MIX,Start,FALSE,TRUE,Water pressure affects dough preparation
OEDSA-084,OED-SCR-BURN,BAGUETTE-250G-BAKE,Start,FALSE,TRUE,Burning only possible during baking
OEDSA-085,OED-SCR-UNDER,BAGUETTE-250G-BAKE,Start,FALSE,TRUE,Underbaking only possible during baking
OEDSA-086,OED-PROC-TEMPDEV,BAGUETTE-250G-BAKE,Start,FALSE,TRUE,Temperature deviation in oven
OEDSA-087,OED-PROC-MIXERR,BAGUETTE-250G-MIX,Start,FALSE,TRUE,Incorrect mixing parameters
OEDSA-088,OED-PROC-FLOW,BAGUETTE-250G-MIX,Start,FALSE,TRUE,Ingredient dosing error
OEDSA-089,OED-MAT-SHORT,BAGUETTE-250G-MIX,Start,FALSE,TRUE,Raw material missing before or during mixing
OEDSA-090,OED-MAT-EXPIRED,BAGUETTE-250G-MIX,Start,FALSE,TRUE,Expired ingredient detected
OEDSA-091,OED-QC-FAIL,BAGUETTE-250G-PACK,Start,FALSE,TRUE,Final inspection at packaging
OEDSA-092,OED-QC-LABEL,BAGUETTE-250G-PACK,Start,FALSE,TRUE,Labeling error during packaging
OEDSA-093,OED-PLAN-DELAY,BAGUETTE-250G-MIX,Start,FALSE,FALSE,Schedule deviation detected at start
OEDSA-094,OED-PLAN-OVERRUN,BAGUETTE-250G-BAKE,Start,FALSE,FALSE,Runtime exceeded planned duration
OEDSA-095,OED-PROD-MIX-START,BAGUETTE-250G-MIX,Start,TRUE,TRUE,Start of Mixing
OEDSA-096,OED-PROD-MIX-END,BAGUETTE-250G-MIX,End,TRUE,TRUE,End of Mixing
OEDSA-097,OED-PROD-BAKE-START,BAGUETTE-250G-BAKE,Start,TRUE,TRUE,Start of baking
OEDSA-098,OED-PROD-BAKE-END,BAGUETTE-250G-BAKE,End,TRUE,TRUE,End of baking
OEDSA-099,OED-PROD-PACK-START,BAGUETTE-250G-PACK,Start,TRUE,TRUE,Start of packing
OEDSA-100,OED-PROD-PACK-END,BAGUETTE-250G-PACK,End,TRUE,TRUE,End of packing
OEDSA-101,OED-MNT-START,MAINT-LUBE-GREASE-MIXER,Start,TRUE,TRUE,Start of Mixer grease lubrication
OEDSA-102,OED-MNT-END,MAINT-LUBE-GREASE-MIXER,End,TRUE,TRUE,End of Mixer grease lubrication
OEDSA-103,OED-MNT-START,MAINT-LUBE-GREASE-OVEN,Start,TRUE,TRUE,Start of Oven grease lubrication
OEDSA-104,OED-MNT-END,MAINT-LUBE-GREASE-OVEN,End,TRUE,TRUE,End of Oven grease lubrication
OEDSA-105,OED-MNT-START,MAINT-LUBE-GREASE-PACK,Start,TRUE,TRUE,Start of Packaging grease lubrication
OEDSA-106,OED-MNT-END,MAINT-LUBE-GREASE-PACK,End,TRUE,TRUE,End of Packaging grease lubrication
OEDSA-107,OED-MNT-START,MAINT-LUBE-OIL-MIXER,Start,TRUE,TRUE,Start of Mixer oil lubrication
OEDSA-108,OED-MNT-END,MAINT-LUBE-OIL-MIXER,End,TRUE,TRUE,End of Mixer oil lubrication
OEDSA-109,OED-MNT-START,MAINT-LUBE-OIL-OVEN,Start,TRUE,TRUE,Start of Oven oil lubrication
OEDSA-110,OED-MNT-END,MAINT-LUBE-OIL-OVEN,End,TRUE,TRUE,End of Oven oil lubrication
OEDSA-111,OED-MNT-START,MAINT-ROLLE-PACK,Start,TRUE,TRUE,Start rolle pack exchange
OEDSA-112,OED-MNT-END,MAINT-ROLLE-PACK,End,TRUE,TRUE,End rolle pack exchange
OEDSA-113,OED-MNT-START,MAINT-SENSORCHANGE-OVEN,Start,TRUE,TRUE,Start Oven sensor exchange
OEDSA-114,OED-MNT-END,MAINT-SENSORCHANGE-OVEN,End,TRUE,TRUE,End Oven sensor exchange
OEDSA-115,OED-MNT-START,MAINT-GASLINECHANGE-OVEN,Start,TRUE,TRUE,Start Oven gas line hose exchange
OEDSA-116,OED-MNT-END,MAINT-GASLINECHANGE-OVEN,End,TRUE,TRUE,End Oven gas line hose exchange
OEDSA-117,OED-MNT-START,MAINT-BELTCHANGE-MIXER,Start,TRUE,TRUE,Start Mixer drive belt change
OEDSA-118,OED-MNT-END,MAINT-BELTCHANGE-MIXER,End,TRUE,TRUE,End Mixer drive belt change
OEDSA-117,OED-MNT-START,MAINT-SENSORCHANGE-MIXER,Start,TRUE,TRUE,Start Mixer sensor exchange
OEDSA-118,OED-MNT-END,MAINT-SENSORCHANGE-MIXER,End,TRUE,TRUE,End Mixer sensor exchange
